geography,crops,total
Adamawa,Cotton,80920.29255
Adamawa,Sesame seed,1061.882333
Adamawa,Garlic,484.576593
Adamawa,Shea nuts,17705.20179
Adamawa,Sugarcane,50885.72285
Adamawa,Cocoa,1650.133421
Adamawa,Palm Oil,203.539597
Abia,Ginger,1940.936019
Abia,Cashew,278.134884
Abia,Cocoa,3340.760914
Abia,Coffee,598.612874
Abia,Palm Oil,49227.36304
Abia,Rubber,301.379887
Abia,Kolanut,281.589339
Akwa Ibom,Cashew,143.862871
Akwa Ibom,Cocoa,1253.087948
Akwa Ibom,Palm Oil,135818.9043
Akwa Ibom,Kolanut,354.711016
Anambra,Cashew,999.494949
Anambra,Palm Oil,53463.24156
Anambra,Kolanut,2302.998519
Bauchi,Cotton,741.843533
Bauchi,Sesame seed,3796.68721
Bauchi,Gum Arabic,966.160338
Bauchi,Shea nuts,25623.62593
Bauchi,Sugarcane,993.096855
Bayelsa,Sugarcane,33599.70892
Bayelsa,Cocoa,91.111661
Bayelsa,Palm Oil,15369.85524
Bayelsa,Rubber,1658.289776
Benue,Sesame seed,19922.94858
Benue,Garlic,761.477503
Benue,Ginger,34434.71564
Benue,Shea nuts,27136.25026
Benue,Sugarcane,9020.603847
Benue,Cashew,580.77033
Benue,Palm Oil,47588.13511
Benue,Kolanut,3147.766535
Borno,Cotton,8850.491099
Borno,Sesame seed,2092.561963
Borno,Garlic,9909.096863
Borno,Ginger,6101.433649
Borno,Gum Arabic,6789.367089
Borno,Shea nuts,5900.625056
Borno,Sugarcane,2841.358941
Cross River,Cashew,1016.630956
Cross River,Cocoa,69421.41894
Cross River,Coffee,4278.603808
Cross River,Palm Oil,101741.9813
Cross River,Rubber,11491.32344
Cross River,Kolanut,91.056762
Delta,Sugarcane,3179.276297
Delta,Cashew,2107.533925
Delta,Cocoa,3927.924954
Delta,Palm Oil,104728.9242
Delta,Rubber,15950.93038
Delta,Kolanut,650.113524
Ebonyi,Ginger,2916.232228
Ebonyi,Sugarcane,2806.860339
Ebonyi,Cashew,2656.667687
Ebonyi,Palm Oil,89718.9895
Edo,Sugarcane,10098.5155
Edo,Cashew,5236.608509
Edo,Cocoa,23678.90842
Edo,Coffee,2373.526745
Edo,Palm Oil,70876.80954
Edo,Rubber,6951.181267
Edo,Kolanut,291.07848
Ekiti,Cotton,49.456236
Ekiti,Ginger,697.322275
Ekiti,Sugarcane,6486.145197
Ekiti,Cashew,2505.897357
Ekiti,Cocoa,36464.91156
Ekiti,Coffee,3281.051677
Ekiti,Palm Oil,60948.05563
Ekiti,Rubber,492.481706
Ekiti,Kolanut,11344.02764
Enugu,Sugarcane,113.792021
Enugu,Cashew,7663.095602
Enugu,Palm Oil,56297.47374
Enugu,Kolanut,1407.922693
