geography,location,total
Dakar,Urban,321110.092
Dakar,Rural,6958.554517
Diourbel,Urban,20190.06045
Diourbel,Rural,100729.9725
Fatick,Urban,12148.75492
Fatick,Rural,69303.63827
Kaolack,Urban,27454.54131
Kaolack,Rural,49511.37436
Kolda,Urban,16781.06991
Kolda,Rural,42338.62951
Louga,Urban,21324.71409
Louga,Rural,82507.60483
Matam,Urban,10662.45898
Matam,Rural,39396.90644
Saint Louis,Urban,51143.73336
Saint Louis,Rural,55807.31851
Tambacounda,Urban,16859.95537
Tambacounda,Rural,52259.53477
Thies,Urban,82425.36754
Thies,Rural,95665.48158
Ziguinchor,Rural,41251.32641
Ziguinchor,,46546.36767
