geography,year,type,total
Kenya,2013,Riffles,185
Kenya,2013,Pistols,77
Kenya,2013,Toy-Pistols,39
Kenya,2013,Ammunition,"4,211"
Kenya,2014,Riffles,211
Kenya,2014,Pistols,142
Kenya,2014,Toy-Pistols,39
Kenya,2014,Ammunition,"5,173"
Kenya,2015,Riffles,142
Kenya,2015,Pistols,81
Kenya,2015,Toy-Pistols,108
Kenya,2015,Ammunition,5007
Kenya,2016,Riffles,93
Kenya,2016,Pistols,152
Kenya,2016,Toy-Pistols,199
Kenya,2016,Ammunition,4711
Kenya,2017,Riffles,51
Kenya,2017,Pistols,66
Kenya,2017,Toy-Pistols,65
Kenya,2017,Ammunition,"2,655"
