geography,location,total
Dakar,Urban,10.3666645
Dakar,Rural,7.8479439
Senegal,Urban,9.96778
Senegal,Rural,8.2444227
Diourbel,Urban,11.3876632
Diourbel,Rural,10.3871408
Fatick,Urban,8.6887213
Fatick,Rural,7.8324899
Kaolack,Urban,10.9841225
Kaolack,Rural,9.1812497
Kolda,Urban,11.2185492
Kolda,Rural,7.6862203
Louga,Urban,8.4771337
Louga,Rural,7.4334408
Matam,Urban,11.4340196
Matam,Rural,8.6036439
Saint Louis,Urban,9.0354099
Saint Louis,Rural,7.6208359
Tambacounda,Urban,9.8630231
Tambacounda,Rural,8.041599
Thies,Urban,9.6775554
Thies,Rural,8.8884893
Ziguinchor,Urban,8.0993001
Ziguinchor,Rural,8.1560287
